,bleu_1,bleu_2,bleu_3,bleu_4,meteor,semantic_similarity,bleu_1_rank,bleu_2_rank,bleu_3_rank,bleu_4_rank,meteor_rank,semantic_similarity_rank
baseline,0.0786,0.0287,0.0153,0.0113,0.0764,0.3889,2.0000,3.0000,1.0000,1.0000,3.0000,1.0000
retrieval,0.0801,0.0309,0.0126,0.0070,0.1599,0.2964,1.0000,1.0000,2.0000,2.0000,1.0000,2.0000
prototype,0.0772,0.0301,0.0118,0.0063,0.1552,0.2874,3.0000,2.0000,3.0000,3.0000,2.0000,3.0000
