method,timestamp,bleu_1,bleu_2,bleu_3,bleu_4,meteor,semantic_similarity
baseline,20251113_155758,0.0786,0.0287,0.0153,0.0113,0.0764,0.3889
retrieval,20251113_155758,0.0801,0.0309,0.0126,0.0070,0.1599,0.2964
prototype,20251113_155758,0.0772,0.0301,0.0118,0.0063,0.1552,0.2874
