method,timestamp,bleu_1,bleu_2,bleu_3,bleu_4,meteor,semantic_similarity
baseline,20251113_174008,0.0786,0.0287,0.0153,0.0113,0.0764,0.3889
retrieval,20251113_174008,0.0809,0.0314,0.0124,0.0067,0.1610,0.2938
prototype,20251113_174008,0.0808,0.0327,0.0129,0.0071,0.1590,0.2933
