,bleu_1,bleu_2,bleu_3,bleu_4,meteor,semantic_similarity,bleu_1_rank,bleu_2_rank,bleu_3_rank,bleu_4_rank,meteor_rank,semantic_similarity_rank
baseline,0.0786,0.0287,0.0153,0.0113,0.0764,0.3889,3.0000,3.0000,1.0000,1.0000,3.0000,1.0000
retrieval,0.0809,0.0314,0.0124,0.0067,0.1610,0.2938,1.0000,2.0000,3.0000,3.0000,1.0000,2.0000
prototype,0.0808,0.0327,0.0129,0.0071,0.1590,0.2933,2.0000,1.0000,2.0000,2.0000,2.0000,3.0000
